WP_002553999.1	iECW_1372.ECW_m0994	86.1	72	10	0	1	72	1	72	5.2e-31	131.7
WP_002553999.1	iWFL_1372.ECW_m0994	86.1	72	10	0	1	72	1	72	5.2e-31	131.7
WP_002554837.1	iWFL_1372.ECW_m0678	62.3	61	22	1	7	66	6	66	1.7e-15	80.1
WP_002554837.1	iECW_1372.ECW_m0678	62.3	61	22	1	7	66	6	66	1.7e-15	80.1
WP_002555108.1	iECUMN_1333.ECUMN_0744	25.1	342	216	12	13	326	8	337	2.7e-08	58.5
WP_002555108.1	iEC042_1314.EC042_0685	25.1	342	216	12	13	326	8	337	2.7e-08	58.5
WP_002555108.1	iECO26_1355.ECO26_0725	25.2	345	212	13	13	326	8	337	7.7e-08	57.0
WP_002555108.1	iECO111_1330.ECO111_0680	25.2	345	212	13	13	326	8	337	7.7e-08	57.0
WP_002555108.1	iEcSMS35_1347.EcSMS35_0671	24.9	342	217	12	13	326	8	337	1.3e-07	56.2
WP_002555108.1	iSbBS512_1146.SbBS512_E0599	25.2	345	212	13	13	326	8	337	2.3e-07	55.5
WP_002555108.1	iSBO_1134.SBO_0513	25.2	345	212	13	13	326	8	337	2.3e-07	55.5
WP_002555108.1	iECH74115_1262.ECH74115_0741	25.2	345	212	13	13	326	8	337	2.9e-07	55.1
WP_002555108.1	iETEC_1333.ETEC_0679	25.2	345	212	13	13	326	8	337	2.9e-07	55.1
WP_002555108.1	iECSP_1301.ECSP_0702	25.2	345	212	13	13	326	8	337	2.9e-07	55.1
WP_002555108.1	iECSE_1348.ECSE_0720	25.2	345	212	13	13	326	8	337	2.9e-07	55.1
WP_002555108.1	iECs_1301.ECs0689	25.2	345	212	13	13	326	8	337	2.9e-07	55.1
WP_002555108.1	iEcDH1_1363.EcDH1_2976	25.2	345	212	13	13	326	8	337	3.8e-07	54.7
WP_002555108.1	iECD_1391.ECD_00616	25.2	345	212	13	13	326	8	337	3.8e-07	54.7
WP_002555108.1	iY75_1357.Y75_RS03390	25.2	345	212	13	13	326	8	337	3.8e-07	54.7
WP_002555108.1	iECDH1ME8569_1439.ECDH1ME8569_0619	25.2	345	212	13	13	326	8	337	3.8e-07	54.7
